event_id,event_type,event_timestamp,plan_id,validity_unit,validity_duration,plan_status,_valid_from,_valid_to,_is_current_state
evt_0Shrd6Rp4MTdQU5MIzGnf9Q7NdR4,plan.created,2021-09-02 14:26:13.517Z,pln_0ShrK7474MTdQU3XCIsJNtjyQQy3,day,30,available,2021-09-02 13:10:47.000Z,2021-09-02 14:57:43.142Z,false
evt_0SkDDSEo3mdnwQ4lXCp27etShJXN,plan.created,2021-09-27 12:00:05.806Z,pln_0SkDBPf53mdnwQ1fWXBwLfsJ358g,day,30,available,2021-09-27 11:51:59.000Z,2021-09-27 18:40:04.152Z,false
evt_0SkDDS7L3mdnwQ42GPAsaL5QP21t,plan.created,2021-09-27 12:00:05.343Z,pln_0SkDBRco3mdnwQ5iafX53Qlr5Itm,day,30,available,2021-09-27 11:52:06.000Z,2021-09-27 18:40:03.643Z,false
evt_0SkDDRyf3mdnwQ553CSrkQ6SqvKu,plan.created,2021-09-27 12:00:04.805Z,pln_0SkDBU3V3mdnwQ4dTvB974FgLR1A,day,30,available,2021-09-27 11:52:16.000Z,2021-09-27 18:40:03.187Z,false
evt_0SmP27Z80CYvMj4EITyVgPSv0ZDa,plan.created,2021-10-20 17:28:06.430Z,pln_0SmOzhKT0CYvMj4UpAjfNi85vNV0,day,30,available,2021-10-20 17:18:28.000Z,,true
evt_0Sms1foA3EVOEW1NdWVHl1zusOGT,plan.created,2021-10-25 16:28:13.474Z,pln_0SmryOB83EVOEW4nFkDDSUwSZ6Nq,day,30,available,2021-10-25 16:15:10.000Z,2021-10-25 17:18:04.684Z,false
evt_0Sms4eAe12RIDn45gnAW6tVb2UWp,plan.created,2021-10-25 16:40:02.164Z,pln_0Sms11pv12RIDn4zYZjCAC7bqLbS,day,30,available,2021-10-25 16:25:39.000Z,2021-10-25 17:58:52.996Z,false
evt_0Sn9f8030CYvMj2FrTdpMKf2WLH5,plan.created,2021-10-28 16:51:34.347Z,pln_0Sn9NRlO0CYvMj14UYXd5Rn8ZQ65,day,30,available,2021-10-28 15:41:20.000Z,2021-11-03 21:29:15.161Z,false
evt_0Sn9TWbX3EVOEW12ZXERZLsNN7Qc,plan.created,2021-10-28 16:05:28.991Z,pln_0Sn9P4pO3EVOEW3Fi7SZuWZaBiiN,day,30,available,2021-10-28 15:47:48.000Z,2021-10-29 08:24:50.946Z,false
evt_0Snj44xJ32QCyV1X0YcgyFyzDWvJ,plan.created,2021-11-03 18:10:12.605Z,pln_0SnikaCN32QCyV2I334htp8xwMhq,day,30,available,2021-11-03 16:52:46.000Z,,true
evt_0SnjLb5Q32QCyV1MSUuwrGlbQPYj,plan.created,2021-11-03 19:19:47.692Z,pln_0SnjJTOj32QCyV5HF4lwyNIto5oV,day,30,available,2021-11-03 19:11:21.000Z,2021-11-03 21:29:11.221Z,false
evt_0SnmVeYf32QCyV44usgJJB5Vy7hv,plan.created,2021-11-04 08:18:33.325Z,pln_0SnmNRmi32QCyV1RMd4VO9B5DwpC,day,30,available,2021-11-04 07:45:57.000Z,2021-11-04 08:41:31.006Z,false
evt_0SoGEZ3J0CYvMj0xbJvwn5nJWmIS,plan.created,2021-11-09 10:18:50.665Z,pln_0SoGDbBh0CYvMj5fEomFacWgIHkw,day,30,available,2021-11-09 10:15:00.000Z,2022-01-12 09:14:11.757Z,false
evt_0SoxEOdy0jg0oY0kKGlbzT7Q2tNH,plan.created,2021-11-16 18:47:53.102Z,pln_0Sowykyp0jg0oY1yYAKA0B35XpLm,day,30,available,2021-11-16 17:45:45.000Z,,true
evt_0Sp1J82B0jg0oY0iKjZhKNwAAD14,plan.created,2021-11-17 11:31:46.239Z,pln_0Sp1GoN60jg0oY1w0JcvuANKsVGJ,day,30,available,2021-11-17 11:22:34.000Z,2022-01-12 09:13:50.428Z,false
evt_0Sp1J7qJ0jg0oY4gktkqAcPbTJ6W,plan.created,2021-11-17 11:31:45.503Z,pln_0Sp1Gw560jg0oY0PE80DGyoNpCQg,day,30,available,2021-11-17 11:23:03.000Z,2022-01-12 09:13:50.360Z,false
evt_0Sp8pf0n27ZVKJ5cjMmV6noUdoSz,plan.created,2021-11-18 18:24:53.853Z,pln_0Sp8nfN827ZVKJ0iOHxIeDUgx4G7,day,30,available,2021-11-18 18:16:58.000Z,,true
evt_0SqZp1G40SV4r84t2vp8OlsMAQyU,plan.created,2021-12-03 23:40:34.944Z,pln_0SqXzcwS0SV4r84tiiqXJfetalaC,day,360,available,2021-12-03 16:10:10.000Z,,true
evt_0SqZp1AQ0SV4r85Aiv1Zc7Ug4ku5,plan.created,2021-12-03 23:40:34.594Z,pln_0SqXzdCg0SV4r81dEJQwxTU5fWGO,day,180,available,2021-12-03 16:10:11.000Z,,true
evt_0SqZp14n0SV4r82LaC3Bxm6mHTAP,plan.created,2021-12-03 23:40:34.245Z,pln_0SqXzdSt0SV4r83Bh4WPxgMeVf56,day,30,available,2021-12-03 16:10:12.000Z,,true
evt_0SqZp0xl0SV4r84maR6lYX5pcj8M,plan.created,2021-12-03 23:40:33.809Z,pln_0SqXzdj60SV4r83u3DNlkZMpYfFh,day,30,available,2021-12-03 16:10:13.000Z,2021-12-15 20:49:25.355Z,false
evt_0Sr0nHo41kLr6a2T7FmfpCCKGO81,plan.created,2021-12-08 14:23:02.972Z,pln_0Sr03p1D1kLr6a4dGI8kNiyBVNgx,day,360,available,2021-12-08 11:22:27.000Z,2021-12-14 14:52:21.623Z,false
evt_0Sr0nHot1kLr6a2Aya2E5vhMoF9x,plan.created,2021-12-08 14:23:03.023Z,pln_0Sr08K5L1kLr6a1P4qpboFnVTD40,day,30,available,2021-12-08 11:40:20.000Z,2021-12-14 14:52:21.702Z,false
evt_0Sr0pNSK1kLr6a3O8pkw26waqXqb,plan.created,2021-12-08 14:31:21.344Z,pln_0Sr0U3LV1kLr6a4CJQjnLi74NlZN,day,30,available,2021-12-08 13:06:39.000Z,2021-12-08 16:39:22.797Z,false
evt_0Sr1Lbwr1kLr6a51JPh5GEcZB6bu,plan.created,2021-12-08 16:39:23.549Z,pln_0Sr12cbP1kLr6a2OHDLiaB5RNWlR,day,30,available,2021-12-08 15:23:57.000Z,2021-12-14 14:52:21.819Z,false
evt_0Sr1Lc1E1kLr6a2s2jrON1PeBNZ5,plan.created,2021-12-08 16:39:23.820Z,pln_0Sr12jNz1kLr6a0qHoEN9ymR0t1B,day,30,available,2021-12-08 15:24:23.000Z,2021-12-14 14:52:22.285Z,false
evt_0SrhIEMF0SV4r84HnZFXbUYST6s0,plan.created,2021-12-15 20:49:23.995Z,pln_0SrhAleP0SV4r854UuBdTR1prbA1,day,180,available,2021-12-15 20:19:45.000Z,2022-01-12 09:13:54.755Z,false
evt_0SrhIEZt0SV4r85WuXhQL8omRiSv,plan.created,2021-12-15 20:49:24.841Z,pln_0SrhAlud0SV4r84KEiLQTrQQTqWO,day,360,available,2021-12-15 20:19:46.000Z,2022-01-12 09:13:55.200Z,false
evt_0SrhIEnw0SV4r84weVH7lSnNdrOW,plan.created,2021-12-15 20:49:25.712Z,pln_0SrhAmAq0SV4r829Em8CB67U9Cm6,day,180,available,2021-12-15 20:19:47.000Z,2022-01-04 15:02:49.825Z,false
evt_0SrhIEuG0SV4r858v3oBtwRCmNIP,plan.created,2021-12-15 20:49:26.104Z,pln_0SrhAmR30SV4r80D7PXabE7SALXp,day,360,available,2021-12-15 20:19:48.000Z,2022-01-04 15:02:50.392Z,false
evt_0SrhIFqx27ZVKJ5GYJdbIR0d7sUF,plan.created,2021-12-15 20:49:29.743Z,pln_0SrhEwuc27ZVKJ0SbNN5df8Wgfjm,day,180,available,2021-12-15 20:36:21.000Z,2022-01-12 09:13:56.563Z,false
evt_0SrhIG5a27ZVKJ53Hx11RSPMwzwV,plan.created,2021-12-15 20:49:30.650Z,pln_0SrhExAq27ZVKJ1DL12MSi1p1pHv,day,360,available,2021-12-15 20:36:22.000Z,2022-01-12 09:13:57.016Z,false
evt_0SrhIakx27ZVKJ0mNJ5oFOU8UUHq,plan.created,2021-12-15 20:50:50.095Z,pln_0SrhFEJI27ZVKJ50r53Q42hGEack,day,30,available,2021-12-15 20:37:28.000Z,2022-01-04 15:32:31.301Z,false
evt_0SrhIarp27ZVKJ2lztQjV96xVD9C,plan.created,2021-12-15 20:50:50.521Z,pln_0SrhFEZU27ZVKJ2oyKgRfmGRBrov,day,180,available,2021-12-15 20:37:29.000Z,2022-01-04 15:32:31.362Z,false
evt_0SrhIaxC27ZVKJ3855xDLMMCiMWq,plan.created,2021-12-15 20:50:50.854Z,pln_0SrhFEpf27ZVKJ3bjolGKSwMZSpL,day,360,available,2021-12-15 20:37:30.000Z,2022-01-04 15:32:31.412Z,false
evt_0StkG2By2GHkrn4jZUJXal1tVmPm,plan.created,2022-01-06 13:57:15.246Z,pln_0Stk9lgq2GHkrn2Xfq0FaNEqJvuT,day,30,available,2022-01-06 13:32:21.000Z,2022-01-12 09:14:16.978Z,false
evt_0StkG27A2GHkrn1ggwIa0E6qIbAP,plan.created,2022-01-06 13:57:14.948Z,pln_0Stk9lxk2GHkrn2Amps5l65nBZin,day,30,available,2022-01-06 13:32:22.000Z,2022-01-12 09:14:16.447Z,false
evt_0StkG1yt2GHkrn5brPzaNPR0qeDJ,plan.created,2022-01-06 13:57:14.435Z,pln_0Stk9mEy2GHkrn4thz8KlT1wEiXn,day,30,available,2022-01-06 13:32:23.000Z,2022-01-12 09:14:15.954Z,false
evt_0StkG1tT2GHkrn4AxLNfo7O85SiN,plan.created,2022-01-06 13:57:14.099Z,pln_0Stk9mVp2GHkrn15k2yeAHTCisHQ,day,30,available,2022-01-06 13:32:25.000Z,2022-01-12 09:14:15.536Z,false
evt_0StkG2JC2GHkrn22TvWqd2Vt6vV5,plan.created,2022-01-06 13:57:15.694Z,pln_0Stk9ujD2GHkrn2U5ZwkjXLzDxYY,day,30,available,2022-01-06 13:32:56.000Z,2022-01-11 16:52:25.585Z,false
evt_0StkG2QM2GHkrn5JNJZP8vLQlgcx,plan.created,2022-01-06 13:57:16.138Z,pln_0Stk9uzd2GHkrn1PbCjMtgdWjNHj,day,30,available,2022-01-06 13:32:57.000Z,2022-01-11 16:52:25.383Z,false
evt_0StkG2YN2GHkrn1Omj9Cr8i2QZoY,plan.created,2022-01-06 13:57:16.635Z,pln_0Stk9vFo2GHkrn4mRdLoWXLSu5vq,day,30,available,2022-01-06 13:32:58.000Z,2022-01-11 16:52:25.152Z,false
evt_0StkG2fp2GHkrn4Gbc1Xxp5ChhXj,plan.created,2022-01-06 13:57:17.097Z,pln_0Stk9vVz2GHkrn04IoF2yHacxeTj,day,30,available,2022-01-06 13:32:59.000Z,2022-01-11 16:52:24.890Z,false
evt_0StkPhQd2GHkrn3tnw5Ntduf0hup,plan.created,2022-01-06 14:35:38.711Z,pln_0StkHzpL2GHkrn3dVVtr6fyWLECM,day,30,available,2022-01-06 14:05:02.000Z,2022-01-12 09:14:18.686Z,false
evt_0StkPhIw2GHkrn4A300DX3kseMGY,plan.created,2022-01-06 14:35:38.234Z,pln_0StkI05o2GHkrn27PrkrPOL1ooNV,day,30,available,2022-01-06 14:05:03.000Z,2022-01-12 09:14:18.377Z,false
evt_0StkPhEM2GHkrn3DeKfG2EEvGJz1,plan.created,2022-01-06 14:35:37.950Z,pln_0StkI0MG2GHkrn3wd6ze2RxczbZH,day,30,available,2022-01-06 14:05:04.000Z,2022-01-12 09:14:17.885Z,false
evt_0StkPh712GHkrn5snWumbaq9SaB4,plan.created,2022-01-06 14:35:37.495Z,pln_0StkI0cj2GHkrn3f94XolP04k8ov,day,30,available,2022-01-06 14:05:05.000Z,2022-01-12 09:14:17.434Z,false
evt_0SuDbGWI0wBid14CgOWekIHH6kBP,plan.created,2022-01-11 14:23:28.954Z,pln_0SuDaTdU0wBid12rUb6Wm4UsukXf,day,30,available,2022-01-11 14:20:21.000Z,2022-01-12 14:29:06.132Z,false
evt_0SuDbGp80wBid14cSewGspVXrgAY,plan.created,2022-01-11 14:23:30.122Z,pln_0SuDaU4K0wBid13QwIc9VlyPe71i,day,30,available,2022-01-11 14:20:22.000Z,2022-01-12 14:29:06.189Z,false
evt_0SuOzATd3qLZE41Rre6JSUEat5uv,plan.created,2022-01-13 13:07:25.293Z,pln_0SuOteoZ3qLZE42ouxmC0t1mdRFP,day,30,available,2022-01-13 12:45:31.000Z,2022-06-21 12:44:43.374Z,false
evt_0SuOzAeS3qLZE45lQhygS1E70VC2,plan.created,2022-01-13 13:07:25.964Z,pln_0SuOtf6A3qLZE44CPaGhWdHkaHSr,day,30,available,2022-01-13 12:45:33.000Z,2022-07-19 12:49:13.117Z,false
evt_0Svex8V34MTdQU4Dc58lkqKYLpWU,plan.created,2022-01-26 21:08:35.245Z,pln_0SveWT0R4MTdQU1uSbEEoyUCfO2c,day,30,available,2022-01-26 19:22:39.000Z,2022-02-03 11:13:37.186Z,false
evt_0Svex9fv4MTdQU2ULcstBDRQtpdf,plan.created,2022-01-26 21:08:39.763Z,pln_0SveWTRJ4MTdQU4tsumtts1JiewX,day,30,available,2022-01-26 19:22:40.000Z,2022-02-03 11:13:38.388Z,false
evt_0Svjdcnk1VcP2i2xUQDXVJqwzCOK,plan.created,2022-01-27 16:22:26.844Z,pln_0SvioIsO1VcP2i2GSj7SZ0qWv8ah,day,30,available,2022-01-27 12:58:35.000Z,2022-06-21 12:44:39.545Z,false
evt_0Svjdcyt1VcP2i0UP0R0SNMr5cv8,plan.created,2022-01-27 16:22:27.535Z,pln_0SvipFmd1VcP2i13x4HSSedA35PW,day,30,available,2022-01-27 13:02:21.000Z,2022-06-21 12:44:39.661Z,false
evt_0Svj0c1p3dZCpo5e8sQcX0hxmrZ1,plan.created,2022-01-27 13:47:29.081Z,pln_0Svitk4O3dZCpo0JfIg2Jaiixj6y,day,30,available,2022-01-27 13:20:11.000Z,2022-01-27 15:47:12.524Z,false
evt_0Svj0bYv3dZCpo0jon2LhrsCvYFJ,plan.created,2022-01-27 13:47:27.289Z,pln_0SvitkXe3dZCpo08XfHZcqNxcQtN,day,30,available,2022-01-27 13:20:13.000Z,2022-06-21 10:42:09.359Z,false
evt_0Svj0b673dZCpo5aUtnekcYLaRsP,plan.created,2022-01-27 13:47:25.503Z,pln_0Svitl2H3dZCpo3M119GGS2K3bRr,day,30,available,2022-01-27 13:20:15.000Z,2022-01-27 15:47:11.801Z,false
evt_0SwIpzX82ysLzb22jjGFcb8B3BI3,plan.created,2022-02-02 16:51:05.922Z,pln_0SwCNY4z2ysLzb3sNV3JlkxBMxC5,day,30,available,2022-02-01 14:20:29.000Z,2022-02-03 17:26:43.037Z,false
evt_0SwIpzPJ2ysLzb2L3xaXNornAcoS,plan.created,2022-02-02 16:51:05.437Z,pln_0SwCNlqq2ysLzb3tZGAJwzuJjonp,day,30,available,2022-02-01 14:21:22.000Z,2022-02-03 17:26:42.080Z,false
