subscription_id,subscription_created_at,subscription_activated_at,subscription_canceled_at,subscription_ended_at
sub_0SsbgF0Y3mdnwQ4X1mbyGIPrEexP,2021-12-25 12:16:01.000Z,2022-07-14 09:31:45.000Z,2022-07-27 20:22:13.000Z,2023-12-15 12:16:01.000Z
sub_0SnSiPg20SV4r85itvmUfQ0InXMk,2021-10-31 23:03:47.000Z,2022-07-27 17:51:27.000Z,2023-08-30 17:25:35.000Z,2023-10-21 23:03:47.000Z
sub_0Su4gfua0SV4r84gGC0U3x38pfGh,2022-01-10 01:48:31.000Z,2022-02-22 17:13:41.000Z,2022-05-11 13:27:21.000Z,2022-06-09 01:48:31.000Z
sub_0T8xVqtD0SV4r80uWPOVQHLMx1Pz,2022-06-16 21:34:49.000Z,2022-07-13 18:48:31.000Z,2022-10-15 13:13:39.000Z,2022-11-13 21:34:49.000Z
sub_0Sw8eqX30SV4r82xso3xwvmo3Qq4,2022-01-31 23:04:06.000Z,2022-02-24 14:26:17.000Z,2023-02-02 18:07:01.000Z,2023-02-02 18:28:23.000Z
sub_0TQhjs0e3mdnwQ1KDVj58qJINKte,2022-12-22 01:30:00.000Z,2022-12-22 01:30:20.000Z,2023-08-29 00:31:34.000Z,2023-12-17 01:30:00.000Z
sub_0TIdRBST1V5ifC1EXbB5eLy3h5oX,2022-09-27 11:59:38.000Z,2022-09-27 12:00:23.000Z,2023-08-17 17:25:53.000Z,2023-08-23 11:59:38.000Z
sub_0TQLbdTM1V5ifC4UaoUlwh6Ktn4i,2022-12-18 06:39:18.000Z,2022-12-18 06:40:05.000Z,2023-08-01 23:43:05.000Z,2023-08-15 06:39:18.000Z
sub_0TDamXoy0GoTz10iZgwZGaOoRHIj,2022-08-05 00:41:16.000Z,2022-08-05 00:42:55.000Z,2023-07-05 17:36:45.000Z,2023-07-31 00:41:16.000Z
sub_0TZ3LBX918hXXq5KYhx07iigW0Ny,2023-03-20 14:00:59.000Z,2023-03-20 14:01:45.000Z,2023-06-12 13:44:50.000Z,2023-06-18 14:00:59.000Z
